"Source:","C:\Users\Luke.Jensen\OneDrive - Gentex Corporation\Documents\GitHub\Logic-PCB\Logic-PCB\Logic-PCB.kicad_sch"
"Date:","7/26/2023 2:59:47 PM"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Users\Luke.Jensen\Downloads\KiCAD\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","142"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C5, C8, C9, C12, C13, C14, C16, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31","25",".1u","C","Capacitor_SMD:C_01005_0402Metric","Unpolarized capacitor","",""
"C6","1","10u","C","Capacitor_SMD:C_01005_0402Metric","Unpolarized capacitor","",""
"C7","1","100n","C","Capacitor_SMD:C_01005_0402Metric","Unpolarized capacitor","",""
"C10, C11, C15","3","1u","C","Capacitor_SMD:C_01005_0402Metric","Unpolarized capacitor","",""
"C17","1",".01u","C","Capacitor_SMD:C_01005_0402Metric","Unpolarized capacitor","",""
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21","20","LED","LED","LED_SMD:LED_0402_1005Metric","Light emitting diode","",""
"D10","1","LSM115JE3_TR13","LSM115JE3_TR13","SamacSys_Parts:DIOM5436X330N","Schottky Diodes & Rectifiers Schottky","",""
"DS1","1","PSA08-11GWA","PSA08-11GWA","SamacSys_Parts:PSA0811GWA","LED Displays & Accessories AlphaNum Grn 568nm Common Anode","",""
"IC1","1","74LVC1G74DC-Q100H","74LVC1G74DC-Q100H","SamacSys_Parts:SOP50P310X100-8N","74LVC1G74-Q100 - Single D-type flip-flop with set and reset; positive edge trigger@en-us","",""
"IC2, IC7, IC9","3","74HC73D,653","74HC73D,653","SamacSys_Parts:SOIC127P600X175-14N","74HC73 - Dual JK flip-flop with reset; negative-edge trigger@en-us","",""
"IC3, IC4","2","SN74LVC1G02DBVR","SN74LVC1G02DBVR","SamacSys_Parts:SOT95P280X145-5N","Single 2-Input Positive-NOR Gate","",""
"IC5","1","74AUP1T87GWH","74AUP1T87GWH","SOT65P212X110-5N","74AUP1T87 - Low-power 2-input EXCLUSIVE-NOR gate with voltage-leveltranslator@en-us","",""
"IC6","1","NCV4274CDT33RKG","NCV4274CDT33RKG","NCV4274CDT33RKG","ON SEMICONDUCTOR - NCV4274CDT33RKG - LDO, FIXED, 3.3V, 0.4A, -40 TO 150DEG C","",""
"IC8","1","TLC555QDRQ1","TLC555QDRQ1","SamacSys_Parts:SOIC127P600X175-8N","TEXAS INSTRUMENTS - TLC555QDRQ1 - IC, TIMER, 8SOIC","",""
"IC10, IC11","2","SN74LVC1G11MDCKREP","SN74LVC1G11MDCKREP","SamacSys_Parts:SOP65P210X110-6N","Logic Gates EP Sgl 3-Input Pos AND Gate","",""
"IC12","1","74AUP1G32GW-Q100H","74AUP1G32GW-Q100H","SOT65P212X110-5N","Low-power 2-input OR-gate@en-us","",""
"IC13, IC14, IC15, IC16, IC17, IC18, IC19, IC20, IC21","9","TMUX1208QRSVRQ1","TMUX1208QRSVRQ1","SamacSys_Parts:TMUX1208QRSVRQ1","Multiplexer Switch ICs Automotive 5-V, 8:1, 1-channel multiplexer with 1.8-V logic 16-UQFN -40 to 125","",""
"Q1, Q2, Q3, Q4","4","BC847,215","BC847,215","BC847215","BC847 series - 45 V, 100 mA NPN general-purpose transistors","",""
"Q5, Q6, Q9, Q10","4","PMV100EPAR","PMV100EPAR","SOT95P230X110-3N","NEXPERIA - PMV100EPAR - Power MOSFET, P Channel, 60 V, 2.2 A, 0.1 ohm, SOT-23, Surface Mount","",""
"Q7, Q8, Q11, Q12","4","2N7002_HAMR","2N7002_HAMR","2N7002HAMR","60 V, 300 mA N-channel Trench MOSFET VDS:60v  ID:300 ma","",""
"Q13","1","BC858B,235","BC858B,235","BC858B235","BC856; BC857; BC858 - PNP general purpose transistors","",""
"R1, R2, R3, R4, R7, R8, R9, R10, R18, R19, R20, R21, R23","13","5.6k","R","Resistor_SMD:R_0402_1005Metric","Resistor","",""
